frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,coordinates,@version,date
FRC2,55,55,92,92,1,False,"[{'latitude': -6.948631692825971, 'longitude': 107.59821350158853}, {'latitude': -6.948630032452627, 'longitude': 107.59802773804654}, {'latitude': -6.948623500508369, 'longitude': 107.59792245362718}, {'latitude': -6.94861987215496, 'longitude': 107.59784447601112}, {'latitude': -6.948590587665628, 'longitude': 107.59721929480287}, {'latitude': -6.948544037520476, 'longitude': 107.59670874329879}, {'latitude': -6.948482948958923, 'longitude': 107.5960699019347}, {'latitude': -6.948354904479098, 'longitude': 107.59511575797029}, {'latitude': -6.948341360079048, 'longitude': 107.59502201871948}, {'latitude': -6.948333833485371, 'longitude': 107.59495823375988}, {'latitude': -6.948324679285072, 'longitude': 107.594890606278}, {'latitude': -6.948197588443985, 'longitude': 107.59423553867487}, {'latitude': -6.948129188388764, 'longitude': 107.59389630863711}, {'latitude': -6.948089173042201, 'longitude': 107.59370355533042}, {'latitude': -6.947857973297351, 'longitude': 107.59273893319312}, {'latitude': -6.94781388850074, 'longitude': 107.59260092901309}, {'latitude': -6.947762164795879, 'longitude': 107.59240603779637}, {'latitude': -6.947633566789785, 'longitude': 107.59193128866582}, {'latitude': -6.947426003839414, 'longitude': 107.59127814000101}, {'latitude': -6.94727815787112, 'longitude': 107.59089139488697}, {'latitude': -6.946959900703391, 'longitude': 107.59002789866469}, {'latitude': -6.94678268682806, 'longitude': 107.58963109347661}, {'latitude': -6.946593870040874, 'longitude': 107.5892395599023}, {'latitude': -6.946578931675589, 'longitude': 107.58920853137909}, {'latitude': -6.946552821603906, 'longitude': 107.58915363784183}, {'latitude': -6.946494465423217, 'longitude': 107.58903146751214}, {'latitude': -6.945931804720847, 'longitude': 107.5876268909173}, {'latitude': -6.945538557620423, 'longitude': 107.5866795576419}, {'latitude': -6.94549308685926, 'longitude': 107.586580366737}, {'latitude': -6.94542243756097, 'longitude': 107.58641282721175}, {'latitude': -6.945323701254528, 'longitude': 107.58619242728645}, {'latitude': -6.945244341532795, 'longitude': 107.58601868289406}]",traffic-service-flow 1.0.098,"Sat, 19 Aug 2023 10:46:44 GMT"
FRC2,55,55,92,92,1,False,"[{'latitude': -6.948631692825971, 'longitude': 107.59821350158853}, {'latitude': -6.948630032452627, 'longitude': 107.59802773804654}, {'latitude': -6.948623500508369, 'longitude': 107.59792245362718}, {'latitude': -6.94861987215496, 'longitude': 107.59784447601112}, {'latitude': -6.948590587665628, 'longitude': 107.59721929480287}, {'latitude': -6.948544037520476, 'longitude': 107.59670874329879}, {'latitude': -6.948482948958923, 'longitude': 107.5960699019347}, {'latitude': -6.948354904479098, 'longitude': 107.59511575797029}, {'latitude': -6.948341360079048, 'longitude': 107.59502201871948}, {'latitude': -6.948333833485371, 'longitude': 107.59495823375988}, {'latitude': -6.948324679285072, 'longitude': 107.594890606278}, {'latitude': -6.948197588443985, 'longitude': 107.59423553867487}, {'latitude': -6.948129188388764, 'longitude': 107.59389630863711}, {'latitude': -6.948089173042201, 'longitude': 107.59370355533042}, {'latitude': -6.947857973297351, 'longitude': 107.59273893319312}, {'latitude': -6.94781388850074, 'longitude': 107.59260092901309}, {'latitude': -6.947762164795879, 'longitude': 107.59240603779637}, {'latitude': -6.947633566789785, 'longitude': 107.59193128866582}, {'latitude': -6.947426003839414, 'longitude': 107.59127814000101}, {'latitude': -6.94727815787112, 'longitude': 107.59089139488697}, {'latitude': -6.946959900703391, 'longitude': 107.59002789866469}, {'latitude': -6.94678268682806, 'longitude': 107.58963109347661}, {'latitude': -6.946593870040874, 'longitude': 107.5892395599023}, {'latitude': -6.946578931675589, 'longitude': 107.58920853137909}, {'latitude': -6.946552821603906, 'longitude': 107.58915363784183}, {'latitude': -6.946494465423217, 'longitude': 107.58903146751214}, {'latitude': -6.945931804720847, 'longitude': 107.5876268909173}, {'latitude': -6.945538557620423, 'longitude': 107.5866795576419}, {'latitude': -6.94549308685926, 'longitude': 107.586580366737}, {'latitude': -6.94542243756097, 'longitude': 107.58641282721175}, {'latitude': -6.945323701254528, 'longitude': 107.58619242728645}, {'latitude': -6.945244341532795, 'longitude': 107.58601868289406}]",traffic-service-flow 1.0.098,"Sat, 19 Aug 2023 10:46:51 GMT"
FRC2,55,55,92,92,1,False,"[{'latitude': -6.948631692825971, 'longitude': 107.59821350158853}, {'latitude': -6.948630032452627, 'longitude': 107.59802773804654}, {'latitude': -6.948623500508369, 'longitude': 107.59792245362718}, {'latitude': -6.94861987215496, 'longitude': 107.59784447601112}, {'latitude': -6.948590587665628, 'longitude': 107.59721929480287}, {'latitude': -6.948544037520476, 'longitude': 107.59670874329879}, {'latitude': -6.948482948958923, 'longitude': 107.5960699019347}, {'latitude': -6.948354904479098, 'longitude': 107.59511575797029}, {'latitude': -6.948341360079048, 'longitude': 107.59502201871948}, {'latitude': -6.948333833485371, 'longitude': 107.59495823375988}, {'latitude': -6.948324679285072, 'longitude': 107.594890606278}, {'latitude': -6.948197588443985, 'longitude': 107.59423553867487}, {'latitude': -6.948129188388764, 'longitude': 107.59389630863711}, {'latitude': -6.948089173042201, 'longitude': 107.59370355533042}, {'latitude': -6.947857973297351, 'longitude': 107.59273893319312}, {'latitude': -6.94781388850074, 'longitude': 107.59260092901309}, {'latitude': -6.947762164795879, 'longitude': 107.59240603779637}, {'latitude': -6.947633566789785, 'longitude': 107.59193128866582}, {'latitude': -6.947426003839414, 'longitude': 107.59127814000101}, {'latitude': -6.94727815787112, 'longitude': 107.59089139488697}, {'latitude': -6.946959900703391, 'longitude': 107.59002789866469}, {'latitude': -6.94678268682806, 'longitude': 107.58963109347661}, {'latitude': -6.946593870040874, 'longitude': 107.5892395599023}, {'latitude': -6.946578931675589, 'longitude': 107.58920853137909}, {'latitude': -6.946552821603906, 'longitude': 107.58915363784183}, {'latitude': -6.946494465423217, 'longitude': 107.58903146751214}, {'latitude': -6.945931804720847, 'longitude': 107.5876268909173}, {'latitude': -6.945538557620423, 'longitude': 107.5866795576419}, {'latitude': -6.94549308685926, 'longitude': 107.586580366737}, {'latitude': -6.94542243756097, 'longitude': 107.58641282721175}, {'latitude': -6.945323701254528, 'longitude': 107.58619242728645}, {'latitude': -6.945244341532795, 'longitude': 107.58601868289406}]",traffic-service-flow 1.0.098,"Sat, 19 Aug 2023 11:21:41 GMT"
FRC2,55,55,92,92,1,False,"[{'latitude': -6.948631692825971, 'longitude': 107.59821350158853}, {'latitude': -6.948630032452627, 'longitude': 107.59802773804654}, {'latitude': -6.948623500508369, 'longitude': 107.59792245362718}, {'latitude': -6.94861987215496, 'longitude': 107.59784447601112}, {'latitude': -6.948590587665628, 'longitude': 107.59721929480287}, {'latitude': -6.948544037520476, 'longitude': 107.59670874329879}, {'latitude': -6.948482948958923, 'longitude': 107.5960699019347}, {'latitude': -6.948354904479098, 'longitude': 107.59511575797029}, {'latitude': -6.948341360079048, 'longitude': 107.59502201871948}, {'latitude': -6.948333833485371, 'longitude': 107.59495823375988}, {'latitude': -6.948324679285072, 'longitude': 107.594890606278}, {'latitude': -6.948197588443985, 'longitude': 107.59423553867487}, {'latitude': -6.948129188388764, 'longitude': 107.59389630863711}, {'latitude': -6.948089173042201, 'longitude': 107.59370355533042}, {'latitude': -6.947857973297351, 'longitude': 107.59273893319312}, {'latitude': -6.94781388850074, 'longitude': 107.59260092901309}, {'latitude': -6.947762164795879, 'longitude': 107.59240603779637}, {'latitude': -6.947633566789785, 'longitude': 107.59193128866582}, {'latitude': -6.947426003839414, 'longitude': 107.59127814000101}, {'latitude': -6.94727815787112, 'longitude': 107.59089139488697}, {'latitude': -6.946959900703391, 'longitude': 107.59002789866469}, {'latitude': -6.94678268682806, 'longitude': 107.58963109347661}, {'latitude': -6.946593870040874, 'longitude': 107.5892395599023}, {'latitude': -6.946578931675589, 'longitude': 107.58920853137909}, {'latitude': -6.946552821603906, 'longitude': 107.58915363784183}, {'latitude': -6.946494465423217, 'longitude': 107.58903146751214}, {'latitude': -6.945931804720847, 'longitude': 107.5876268909173}, {'latitude': -6.945538557620423, 'longitude': 107.5866795576419}, {'latitude': -6.94549308685926, 'longitude': 107.586580366737}, {'latitude': -6.94542243756097, 'longitude': 107.58641282721175}, {'latitude': -6.945323701254528, 'longitude': 107.58619242728645}, {'latitude': -6.945244341532795, 'longitude': 107.58601868289406}]",traffic-service-flow 1.0.098,"Sat, 19 Aug 2023 11:21:48 GMT"
FRC2,55,55,92,92,1,False,"[{'latitude': -6.948631692825971, 'longitude': 107.59821350158853}, {'latitude': -6.948630032452627, 'longitude': 107.59802773804654}, {'latitude': -6.948623500508369, 'longitude': 107.59792245362718}, {'latitude': -6.94861987215496, 'longitude': 107.59784447601112}, {'latitude': -6.948590587665628, 'longitude': 107.59721929480287}, {'latitude': -6.948544037520476, 'longitude': 107.59670874329879}, {'latitude': -6.948482948958923, 'longitude': 107.5960699019347}, {'latitude': -6.948354904479098, 'longitude': 107.59511575797029}, {'latitude': -6.948341360079048, 'longitude': 107.59502201871948}, {'latitude': -6.948333833485371, 'longitude': 107.59495823375988}, {'latitude': -6.948324679285072, 'longitude': 107.594890606278}, {'latitude': -6.948197588443985, 'longitude': 107.59423553867487}, {'latitude': -6.948129188388764, 'longitude': 107.59389630863711}, {'latitude': -6.948089173042201, 'longitude': 107.59370355533042}, {'latitude': -6.947857973297351, 'longitude': 107.59273893319312}, {'latitude': -6.94781388850074, 'longitude': 107.59260092901309}, {'latitude': -6.947762164795879, 'longitude': 107.59240603779637}, {'latitude': -6.947633566789785, 'longitude': 107.59193128866582}, {'latitude': -6.947426003839414, 'longitude': 107.59127814000101}, {'latitude': -6.94727815787112, 'longitude': 107.59089139488697}, {'latitude': -6.946959900703391, 'longitude': 107.59002789866469}, {'latitude': -6.94678268682806, 'longitude': 107.58963109347661}, {'latitude': -6.946593870040874, 'longitude': 107.5892395599023}, {'latitude': -6.946578931675589, 'longitude': 107.58920853137909}, {'latitude': -6.946552821603906, 'longitude': 107.58915363784183}, {'latitude': -6.946494465423217, 'longitude': 107.58903146751214}, {'latitude': -6.945931804720847, 'longitude': 107.5876268909173}, {'latitude': -6.945538557620423, 'longitude': 107.5866795576419}, {'latitude': -6.94549308685926, 'longitude': 107.586580366737}, {'latitude': -6.94542243756097, 'longitude': 107.58641282721175}, {'latitude': -6.945323701254528, 'longitude': 107.58619242728645}, {'latitude': -6.945244341532795, 'longitude': 107.58601868289406}]",traffic-service-flow 1.0.098,"Sat, 19 Aug 2023 11:21:56 GMT"
FRC2,55,55,92,92,1,False,"[{'latitude': -6.948631692825971, 'longitude': 107.59821350158853}, {'latitude': -6.948630032452627, 'longitude': 107.59802773804654}, {'latitude': -6.948623500508369, 'longitude': 107.59792245362718}, {'latitude': -6.94861987215496, 'longitude': 107.59784447601112}, {'latitude': -6.948590587665628, 'longitude': 107.59721929480287}, {'latitude': -6.948544037520476, 'longitude': 107.59670874329879}, {'latitude': -6.948482948958923, 'longitude': 107.5960699019347}, {'latitude': -6.948354904479098, 'longitude': 107.59511575797029}, {'latitude': -6.948341360079048, 'longitude': 107.59502201871948}, {'latitude': -6.948333833485371, 'longitude': 107.59495823375988}, {'latitude': -6.948324679285072, 'longitude': 107.594890606278}, {'latitude': -6.948197588443985, 'longitude': 107.59423553867487}, {'latitude': -6.948129188388764, 'longitude': 107.59389630863711}, {'latitude': -6.948089173042201, 'longitude': 107.59370355533042}, {'latitude': -6.947857973297351, 'longitude': 107.59273893319312}, {'latitude': -6.94781388850074, 'longitude': 107.59260092901309}, {'latitude': -6.947762164795879, 'longitude': 107.59240603779637}, {'latitude': -6.947633566789785, 'longitude': 107.59193128866582}, {'latitude': -6.947426003839414, 'longitude': 107.59127814000101}, {'latitude': -6.94727815787112, 'longitude': 107.59089139488697}, {'latitude': -6.946959900703391, 'longitude': 107.59002789866469}, {'latitude': -6.94678268682806, 'longitude': 107.58963109347661}, {'latitude': -6.946593870040874, 'longitude': 107.5892395599023}, {'latitude': -6.946578931675589, 'longitude': 107.58920853137909}, {'latitude': -6.946552821603906, 'longitude': 107.58915363784183}, {'latitude': -6.946494465423217, 'longitude': 107.58903146751214}, {'latitude': -6.945931804720847, 'longitude': 107.5876268909173}, {'latitude': -6.945538557620423, 'longitude': 107.5866795576419}, {'latitude': -6.94549308685926, 'longitude': 107.586580366737}, {'latitude': -6.94542243756097, 'longitude': 107.58641282721175}, {'latitude': -6.945323701254528, 'longitude': 107.58619242728645}, {'latitude': -6.945244341532795, 'longitude': 107.58601868289406}]",traffic-service-flow 1.0.098,"Sat, 19 Aug 2023 11:22:03 GMT"
FRC2,55,55,92,92,1,False,"[{'latitude': -6.948631692825971, 'longitude': 107.59821350158853}, {'latitude': -6.948630032452627, 'longitude': 107.59802773804654}, {'latitude': -6.948623500508369, 'longitude': 107.59792245362718}, {'latitude': -6.94861987215496, 'longitude': 107.59784447601112}, {'latitude': -6.948590587665628, 'longitude': 107.59721929480287}, {'latitude': -6.948544037520476, 'longitude': 107.59670874329879}, {'latitude': -6.948482948958923, 'longitude': 107.5960699019347}, {'latitude': -6.948354904479098, 'longitude': 107.59511575797029}, {'latitude': -6.948341360079048, 'longitude': 107.59502201871948}, {'latitude': -6.948333833485371, 'longitude': 107.59495823375988}, {'latitude': -6.948324679285072, 'longitude': 107.594890606278}, {'latitude': -6.948197588443985, 'longitude': 107.59423553867487}, {'latitude': -6.948129188388764, 'longitude': 107.59389630863711}, {'latitude': -6.948089173042201, 'longitude': 107.59370355533042}, {'latitude': -6.947857973297351, 'longitude': 107.59273893319312}, {'latitude': -6.94781388850074, 'longitude': 107.59260092901309}, {'latitude': -6.947762164795879, 'longitude': 107.59240603779637}, {'latitude': -6.947633566789785, 'longitude': 107.59193128866582}, {'latitude': -6.947426003839414, 'longitude': 107.59127814000101}, {'latitude': -6.94727815787112, 'longitude': 107.59089139488697}, {'latitude': -6.946959900703391, 'longitude': 107.59002789866469}, {'latitude': -6.94678268682806, 'longitude': 107.58963109347661}, {'latitude': -6.946593870040874, 'longitude': 107.5892395599023}, {'latitude': -6.946578931675589, 'longitude': 107.58920853137909}, {'latitude': -6.946552821603906, 'longitude': 107.58915363784183}, {'latitude': -6.946494465423217, 'longitude': 107.58903146751214}, {'latitude': -6.945931804720847, 'longitude': 107.5876268909173}, {'latitude': -6.945538557620423, 'longitude': 107.5866795576419}, {'latitude': -6.94549308685926, 'longitude': 107.586580366737}, {'latitude': -6.94542243756097, 'longitude': 107.58641282721175}, {'latitude': -6.945323701254528, 'longitude': 107.58619242728645}, {'latitude': -6.945244341532795, 'longitude': 107.58601868289406}]",traffic-service-flow 1.0.098,"Sat, 19 Aug 2023 11:22:10 GMT"
FRC2,55,55,92,92,1,False,"[{'latitude': -6.948631692825971, 'longitude': 107.59821350158853}, {'latitude': -6.948630032452627, 'longitude': 107.59802773804654}, {'latitude': -6.948623500508369, 'longitude': 107.59792245362718}, {'latitude': -6.94861987215496, 'longitude': 107.59784447601112}, {'latitude': -6.948590587665628, 'longitude': 107.59721929480287}, {'latitude': -6.948544037520476, 'longitude': 107.59670874329879}, {'latitude': -6.948482948958923, 'longitude': 107.5960699019347}, {'latitude': -6.948354904479098, 'longitude': 107.59511575797029}, {'latitude': -6.948341360079048, 'longitude': 107.59502201871948}, {'latitude': -6.948333833485371, 'longitude': 107.59495823375988}, {'latitude': -6.948324679285072, 'longitude': 107.594890606278}, {'latitude': -6.948197588443985, 'longitude': 107.59423553867487}, {'latitude': -6.948129188388764, 'longitude': 107.59389630863711}, {'latitude': -6.948089173042201, 'longitude': 107.59370355533042}, {'latitude': -6.947857973297351, 'longitude': 107.59273893319312}, {'latitude': -6.94781388850074, 'longitude': 107.59260092901309}, {'latitude': -6.947762164795879, 'longitude': 107.59240603779637}, {'latitude': -6.947633566789785, 'longitude': 107.59193128866582}, {'latitude': -6.947426003839414, 'longitude': 107.59127814000101}, {'latitude': -6.94727815787112, 'longitude': 107.59089139488697}, {'latitude': -6.946959900703391, 'longitude': 107.59002789866469}, {'latitude': -6.94678268682806, 'longitude': 107.58963109347661}, {'latitude': -6.946593870040874, 'longitude': 107.5892395599023}, {'latitude': -6.946578931675589, 'longitude': 107.58920853137909}, {'latitude': -6.946552821603906, 'longitude': 107.58915363784183}, {'latitude': -6.946494465423217, 'longitude': 107.58903146751214}, {'latitude': -6.945931804720847, 'longitude': 107.5876268909173}, {'latitude': -6.945538557620423, 'longitude': 107.5866795576419}, {'latitude': -6.94549308685926, 'longitude': 107.586580366737}, {'latitude': -6.94542243756097, 'longitude': 107.58641282721175}, {'latitude': -6.945323701254528, 'longitude': 107.58619242728645}, {'latitude': -6.945244341532795, 'longitude': 107.58601868289406}]",traffic-service-flow 1.0.098,"Sat, 19 Aug 2023 11:22:17 GMT"
FRC2,55,55,92,92,1,False,"[{'latitude': -6.948631692825971, 'longitude': 107.59821350158853}, {'latitude': -6.948630032452627, 'longitude': 107.59802773804654}, {'latitude': -6.948623500508369, 'longitude': 107.59792245362718}, {'latitude': -6.94861987215496, 'longitude': 107.59784447601112}, {'latitude': -6.948590587665628, 'longitude': 107.59721929480287}, {'latitude': -6.948544037520476, 'longitude': 107.59670874329879}, {'latitude': -6.948482948958923, 'longitude': 107.5960699019347}, {'latitude': -6.948354904479098, 'longitude': 107.59511575797029}, {'latitude': -6.948341360079048, 'longitude': 107.59502201871948}, {'latitude': -6.948333833485371, 'longitude': 107.59495823375988}, {'latitude': -6.948324679285072, 'longitude': 107.594890606278}, {'latitude': -6.948197588443985, 'longitude': 107.59423553867487}, {'latitude': -6.948129188388764, 'longitude': 107.59389630863711}, {'latitude': -6.948089173042201, 'longitude': 107.59370355533042}, {'latitude': -6.947857973297351, 'longitude': 107.59273893319312}, {'latitude': -6.94781388850074, 'longitude': 107.59260092901309}, {'latitude': -6.947762164795879, 'longitude': 107.59240603779637}, {'latitude': -6.947633566789785, 'longitude': 107.59193128866582}, {'latitude': -6.947426003839414, 'longitude': 107.59127814000101}, {'latitude': -6.94727815787112, 'longitude': 107.59089139488697}, {'latitude': -6.946959900703391, 'longitude': 107.59002789866469}, {'latitude': -6.94678268682806, 'longitude': 107.58963109347661}, {'latitude': -6.946593870040874, 'longitude': 107.5892395599023}, {'latitude': -6.946578931675589, 'longitude': 107.58920853137909}, {'latitude': -6.946552821603906, 'longitude': 107.58915363784183}, {'latitude': -6.946494465423217, 'longitude': 107.58903146751214}, {'latitude': -6.945931804720847, 'longitude': 107.5876268909173}, {'latitude': -6.945538557620423, 'longitude': 107.5866795576419}, {'latitude': -6.94549308685926, 'longitude': 107.586580366737}, {'latitude': -6.94542243756097, 'longitude': 107.58641282721175}, {'latitude': -6.945323701254528, 'longitude': 107.58619242728645}, {'latitude': -6.945244341532795, 'longitude': 107.58601868289406}]",traffic-service-flow 1.0.098,"Sat, 19 Aug 2023 11:22:24 GMT"
